#{"t_start": 1770078061.4127898, "env_id": "None"}
r,l,t
90.302296,2969,9.624505
38.242247,2969,17.992614
10.666416,2969,27.745083
95.556287,2969,37.382605
-66.493746,2969,49.293931
-13.825206,2969,57.554065
85.506284,2969,68.632466
293.405561,2969,80.49795
158.46174,2969,94.271965
-68.558031,2969,103.124758
4.753184,2969,113.266791
100.293544,2969,123.209813
107.406193,2969,132.516481
-5.122809,2969,146.459943
110.37528,2969,156.160775
46.746431,2969,165.857762
-1.918691,2969,174.114526
-62.011921,2969,183.775244
-9.980086,2969,192.057017
-0.913474,2969,201.997252
192.852148,2969,215.1838
74.884345,2969,226.988685
204.885281,2969,242.795913
-20.765018,2969,255.121504
54.30517,2969,267.37189
19.335188,2969,277.289867
3.264822,2969,287.864731
174.96047,2969,296.352503
135.54692,2969,306.207215
150.242303,2969,314.8067
110.905791,2969,323.527001
7.640633,2969,333.710708
14.743065,2969,345.24464
