#{"t_start": 1770190944.2627478, "env_id": "None"}
r,l,t
245.8294,50,1.93972
125.84011,50,1.93972
-99.05567,50,1.93972
-121.20604,50,1.93972
6.9407253,50,1.93972
-30.583961,50,1.93972
55.519497,50,1.93972
6.8504133,50,1.93972
15.10226,50,1.93972
-72.682396,50,1.93972
-46.36816,50,1.93972
-30.794416,50,1.93972
23.279345,50,1.93972
52.662857,50,1.93972
28.42907,50,1.93972
-32.106926,50,1.93972
28.802254,50,2.174262
-60.39444,50,2.174262
41.804977,50,2.174262
-53.99819,50,2.174262
48.924263,50,2.174262
-52.761604,50,2.174262
9.280082,50,2.174262
28.293894,50,2.174262
-39.27866,50,2.174262
-117.470924,50,2.174262
-65.37854,50,2.174262
69.013,50,2.174262
79.96821,50,2.174262
49.79962,50,2.174262
45.188004,50,2.177263
55.572697,50,2.177263
7.9689245,50,2.417996
49.816147,50,2.417996
53.904854,50,2.417996
-47.862843,50,2.417996
-18.520325,50,2.417996
116.316086,50,2.417996
-66.0191,50,2.417996
28.257755,50,2.417996
-46.98404,50,2.417996
40.116447,50,2.417996
22.974329,50,2.417996
130.36246,50,2.417996
58.977005,50,2.417996
30.181068,50,2.417996
73.04636,50,2.417996
88.6031,50,2.417996
14.061006,50,2.656992
-144.6373,50,2.656992
-155.39955,50,2.656992
-59.033318,50,2.656992
-122.99698,50,2.656992
-159.31406,50,2.656992
181.11774,50,2.656992
64.29007,50,2.656992
136.19504,50,2.656992
-47.30986,50,2.656992
-60.547466,50,2.656992
-99.182175,50,2.656992
144.90225,50,2.656992
-79.03641,50,2.656992
-23.173273,50,2.656992
99.69541,50,2.656992
70.435196,50,2.898436
0.4869671,50,2.898436
-97.918655,50,2.898436
35.18756,50,2.898436
-118.357,50,2.898436
47.356873,50,2.898436
34.42248,50,2.898436
-73.6013,50,2.898436
-10.375654,50,2.898436
-82.45932,50,2.898436
67.828316,50,2.898436
125.47719,50,2.898436
-23.422308,50,2.898436
71.73909,50,2.898436
-40.07133,50,2.898436
17.029566,50,2.898436
71.62333,50,3.145385
-20.024979,50,3.145385
-8.425149,50,3.145385
-45.360485,50,3.145385
-75.84741,50,3.145385
1.2496052,50,3.145385
-60.22569,50,3.145385
-388.96683,50,3.145385
102.57974,50,3.145385
102.940895,50,3.145385
-48.63182,50,3.145385
51.024025,50,3.145385
3.8824534,50,3.145385
62.79446,50,3.145385
-13.637718,50,3.145385
-10.842049,50,3.145385
16.589983,50,3.441413
1.9869013,50,3.441413
-14.854483,50,3.441413
34.053364,50,3.441413
33.96638,50,3.441413
-85.47883,50,3.441413
-102.419586,50,3.441413
23.514498,50,3.441413
14.988319,50,3.441413
11.274428,50,3.441413
19.626492,50,3.441413
-44.772514,50,3.441413
8.762191,50,3.441413
21.815289,50,3.441413
-30.13181,50,3.441413
-58.271828,50,3.441413
-30.24714,50,3.858701
8.306072,50,3.858701
97.730995,50,3.858701
-7.4675713,50,3.858701
75.09926,50,3.858701
34.676018,50,3.858701
82.384926,50,3.858701
-121.78854,50,3.858701
49.077198,50,3.858701
-77.77055,50,3.858701
-177.54155,50,3.858701
31.100803,50,3.858701
120.30916,50,3.858701
40.776123,50,3.858701
60.77974,50,3.858701
-15.368069,50,3.858701
71.231575,50,4.086295
-228.05177,50,4.086295
31.000166,50,4.087295
198.13197,50,4.087295
-263.21512,50,4.087295
130.13182,50,4.087295
162.03651,50,4.087295
24.750992,50,4.087295
0.085550785,50,4.087295
-18.804703,50,4.087295
-67.26241,50,4.087295
8.714166,50,4.087295
-34.671185,50,4.087295
98.76689,50,4.087295
-27.04777,50,4.087295
-49.78987,50,4.087295
91.441956,50,4.326972
-19.859632,50,4.326972
-216.1974,50,4.326972
-4.4447503,50,4.326972
30.467287,50,4.326972
101.01485,50,4.326972
43.275658,50,4.326972
104.61546,50,4.326972
-8.901171,50,4.326972
-295.91122,50,4.326972
-3.2175384,50,4.326972
42.3906,50,4.326972
41.740425,50,4.326972
73.36935,50,4.326972
42.117165,50,4.326972
-200.06346,50,4.326972
87.77011,50,4.582795
36.213432,50,4.583796
115.575134,50,4.583796
50.058746,50,4.583796
10.066912,50,4.583796
20.255919,50,4.583796
-152.0659,50,4.583796
-0.30214977,50,4.583796
69.58769,50,4.583796
-31.604319,50,4.583796
38.310314,50,4.583796
-44.541737,50,4.583796
-0.41943073,50,4.583796
-46.95934,50,4.583796
-41.985863,50,4.583796
25.898975,50,4.583796
275.0262,50,4.835672
-3.7657557,50,4.835672
-205.1789,50,4.835672
-18.957802,50,4.835672
-29.525965,50,4.835672
-253.24365,50,4.835672
-149.64618,50,4.835672
-27.099699,50,4.835672
-33.69882,50,4.835672
-42.95231,50,4.835672
8.714549,50,4.835672
2.2539477,50,4.835672
43.69532,50,4.835672
44.246487,50,4.835672
-45.57293,50,4.835672
-39.917038,50,4.835672
-0.37264922,50,5.099169
21.52545,50,5.099169
-134.48914,50,5.099169
-74.06363,50,5.099169
-5.1353073,50,5.100172
-98.21474,50,5.100172
-14.7385,50,5.100172
41.981556,50,5.100172
-59.27746,50,5.100172
-19.902172,50,5.100172
98.312195,50,5.100172
70.84246,50,5.100172
116.9094,50,5.100172
52.03969,50,5.100172
37.117874,50,5.100172
206.87303,50,5.100172
-65.2592,50,5.408644
80.3837,50,5.408644
23.309622,50,5.408644
59.008698,50,5.408644
-27.274334,50,5.408644
92.877014,50,5.408644
-20.110546,50,5.408644
79.30451,50,5.408644
-418.62006,50,5.408644
28.713043,50,5.408644
-50.09013,50,5.408644
166.81482,50,5.408644
185.27994,50,5.408644
54.14694,50,5.408644
14.692739,50,5.408644
-40.098885,50,5.408644
-130.16507,50,5.863186
4.9898686,50,5.863186
108.989845,50,5.863186
96.23069,50,5.863186
-55.401154,50,5.863186
-20.223265,50,5.863186
46.140667,50,5.863186
-21.766645,50,5.863186
-8.859299,50,5.863186
-308.03278,50,5.863186
47.263065,50,5.864187
-125.12026,50,5.864187
-93.140045,50,5.864187
-101.27286,50,5.864187
-44.524353,50,5.864187
-292.54834,50,5.864187
-191.1021,50,6.095298
-166.14798,50,6.095298
2.1882744,50,6.095298
-33.836887,50,6.095298
94.04262,50,6.095298
135.13551,50,6.095298
24.43924,50,6.095298
15.6797085,50,6.095298
-33.16353,50,6.095298
-45.416927,50,6.095298
10.022932,50,6.095298
-102.19048,50,6.095298
-40.85853,50,6.095298
-74.588326,50,6.095298
-181.44075,50,6.095298
21.20683,50,6.095298
-115.698845,50,6.339349
-8.274849,50,6.339349
-66.05706,50,6.339349
-53.08894,50,6.339349
-59.60073,50,6.339349
-16.990011,50,6.339349
-58.630245,50,6.339349
-11.615153,50,6.339349
6.919133,50,6.339349
102.89841,50,6.339349
-9.976665,50,6.339349
93.71747,50,6.339349
21.387476,50,6.339349
76.729294,50,6.339349
83.04348,50,6.339349
28.55939,50,6.339349
-28.542513,50,6.57486
49.878666,50,6.57586
-32.687943,50,6.57586
25.362347,50,6.57586
-126.36559,50,6.57586
56.450928,50,6.57586
92.70308,50,6.57586
69.76526,50,6.57586
-11.155025,50,6.57586
32.66629,50,6.57586
-347.55356,50,6.57586
24.916355,50,6.57586
-91.71532,50,6.57586
-2.351725,50,6.57586
177.80742,50,6.57586
-27.758656,50,6.57586
67.91352,50,6.81347
63.72682,50,6.81347
179.75,50,6.81347
44.415874,50,6.81347
-13.691067,50,6.81347
-13.573502,50,6.81347
-71.282776,50,6.81347
-2.7473307,50,6.81347
53.72652,50,6.81347
-69.2547,50,6.81347
-153.84201,50,6.81347
49.31854,50,6.81347
-0.42398167,50,6.81347
152.14207,50,6.81347
69.46559,50,6.81347
-72.297516,50,6.81347
186.92964,50,7.047788
-27.443855,50,7.047788
7.431504,50,7.047788
-316.60797,50,7.047788
25.648346,50,7.047788
-22.832047,50,7.047788
-43.52251,50,7.047788
-42.111443,50,7.047788
-341.20428,50,7.047788
-55.510536,50,7.047788
-37.87558,50,7.047788
-2.0806584,50,7.047788
-3.7550163,50,7.047788
17.850498,50,7.047788
-111.61286,50,7.047788
156.42679,50,7.047788
-12.29174,50,7.333933
168.27783,50,7.333933
-78.01093,50,7.333933
-56.818493,50,7.333933
15.155062,50,7.333933
41.316875,50,7.333933
97.21927,50,7.333933
-72.68489,50,7.333933
