#{"t_start": 1770189414.7087045, "env_id": "None"}
r,l,t
-15.202271,50,3.306601
0.61831474,50,3.306601
20.750189,50,3.306601
17.69519,50,3.306601
3.2904649,50,3.306601
6.736136,50,3.306601
-3.8470082,50,3.306601
10.204483,50,3.306601
-1.634246,50,3.676996
-8.008789,50,3.676996
8.635859,50,3.676996
-3.0070102,50,3.676996
10.429869,50,3.676996
-29.117832,50,3.676996
2.3207006,50,3.676996
-3.781168,50,3.676996
5.9743423,50,4.178325
-8.795069,50,4.178325
-0.2364918,50,4.178325
-0.2740003,50,4.178325
6.6458654,50,4.178325
-19.116287,50,4.178325
6.196044,50,4.178325
5.6436205,50,4.178325
-4.886483,50,4.509952
-6.498909,50,4.509952
1.4568617,50,4.509952
-5.310599,50,4.509952
2.6233041,50,4.509952
-34.46616,50,4.509952
-27.69116,50,4.509952
0.19293848,50,4.509952
-16.613398,50,4.870778
-15.695229,50,4.871778
2.1494823,50,4.871778
0.7265011,50,4.871778
-1.3758365,50,4.871778
-3.4107566,50,4.871778
-35.269844,50,4.871778
0.718277,50,4.871778
6.1673565,50,5.208589
4.5473876,50,5.209589
-2.3198128,50,5.209589
1.0955266,50,5.209589
-16.174398,50,5.209589
4.3151813,50,5.209589
-3.840834,50,5.209589
-3.511031,50,5.209589
6.420938,50,5.562489
-9.367207,50,5.562489
5.4197745,50,5.562489
9.390128,50,5.562489
7.199487,50,5.562489
5.52534,50,5.562489
10.716822,50,5.562489
-13.720335,50,5.562489
-2.5954323,50,5.913563
-4.754528,50,5.913563
2.9809659,50,5.913563
1.9355264,50,5.913563
-8.77077,50,5.913563
-14.2630205,50,5.913563
-0.55974805,50,5.913563
1.9042925,50,5.913563
4.144865,50,6.283816
-20.748262,50,6.283816
5.4058948,50,6.283816
-0.75581956,50,6.283816
0.49197152,50,6.283816
-7.5986176,50,6.283816
0.5075829,50,6.283816
-6.5289826,50,6.283816
1.9479376,50,6.635141
0.89065236,50,6.635141
-21.652233,50,6.635141
-12.208616,50,6.635141
5.637224,50,6.635141
-3.0023854,50,6.635141
6.2235312,50,6.635141
1.3420652,50,6.635141
1.9433949,50,7.124069
8.263841,50,7.124069
-6.979929,50,7.124069
-3.8953216,50,7.124069
-2.4547248,50,7.124069
-1.1379784,50,7.124069
-2.8570807,50,7.124069
2.2311306,50,7.124069
0.13915578,50,7.470122
2.4915712,50,7.470122
9.020344,50,7.470122
-4.0229387,50,7.470122
-1.0215468,50,7.470122
-4.455593,50,7.470122
6.9988413,50,7.470122
5.3234196,50,7.470122
8.601454,50,7.82342
-1.478173,50,7.82342
12.334675,50,7.82342
-6.826634,50,7.82342
-6.785245,50,7.82342
6.839645,50,7.82342
-9.737828,50,7.82342
2.8822515,50,7.82342
5.410504,50,8.195938
-12.842438,50,8.195938
2.8525763,50,8.195938
3.4012792,50,8.195938
2.1986535,50,8.195938
-4.537697,50,8.195938
2.18075,50,8.195938
12.102434,50,8.195938
5.3697896,50,8.551746
-13.312855,50,8.551746
0.88483256,50,8.551746
-3.0128684,50,8.551746
-0.043679416,50,8.551746
1.7546993,50,8.551746
-15.176345,50,8.551746
4.436684,50,8.551746
-6.9881763,50,8.924663
2.8268363,50,8.924663
19.430477,50,8.924663
6.2420073,50,8.924663
-0.18967676,50,8.924663
3.5241024,50,8.924663
-8.094085,50,8.924663
2.8009346,50,8.924663
6.197463,50,9.288648
5.7484636,50,9.288648
1.2463837,50,9.288648
-14.341749,50,9.288648
-24.49597,50,9.288648
2.4676654,50,9.288648
1.1730254,50,9.288648
-13.439409,50,9.288648
2.9454758,50,9.648292
-4.1158757,50,9.648292
-22.225508,50,9.648292
1.7380557,50,9.648292
-16.359154,50,9.648292
-4.6627517,50,9.648292
-2.0330892,50,9.648292
-2.7658348,50,9.648292
-33.47009,50,10.198463
3.8287969,50,10.198463
-1.5756721,50,10.199462
-8.656509,50,10.199462
-0.7701055,50,10.199462
-0.3322807,50,10.199462
-7.906425,50,10.199462
-10.765253,50,10.199462
3.1221938,50,10.545273
1.6341972,50,10.545273
9.54381,50,10.545273
7.60588,50,10.545273
2.8326786,50,10.545273
1.6497811,50,10.545273
-1.1559486,50,10.545273
-1.4215522,50,10.545273
1.518282,50,10.881436
5.6105657,50,10.881436
-2.3299994,50,10.881436
-2.1497986,50,10.881436
-5.0721564,50,10.881436
-40.69637,50,10.881436
2.7825968,50,10.881436
-5.4985676,50,10.881436
-23.142729,50,11.214653
-7.5438643,50,11.214653
-1.6411391,50,11.214653
7.154831,50,11.214653
-10.376974,50,11.214653
-4.972472,50,11.214653
22.202898,50,11.214653
6.2743177,50,11.214653
4.195459,50,11.569618
6.0966725,50,11.569618
3.1510081,50,11.569618
-3.4125183,50,11.569618
3.2091386,50,11.569618
-1.0114495,50,11.569618
-0.11062074,50,11.569618
4.373389,50,11.569618
-6.0898223,50,11.934136
-10.463673,50,11.934136
8.960001,50,11.934136
-3.838708,50,11.934136
-3.3107033,50,11.934136
11.562827,50,11.934136
3.462461,50,11.934136
-9.05561,50,11.934136
6.142608,50,12.27826
1.1357248,50,12.27826
-5.690446,50,12.27826
2.9378564,50,12.27826
-2.2785578,50,12.27826
7.4637938,50,12.27826
-18.377865,50,12.27826
-2.520095,50,12.27826
1.770036,50,12.631544
-11.495357,50,12.631544
-1.4032137,50,12.631544
-0.237028,50,12.632544
0.6765284,50,12.632544
-1.7850764,50,12.632544
0.17714009,50,12.632544
-2.54808,50,12.632544
-2.9340246,50,13.154212
-1.9791437,50,13.154212
-3.7158656,50,13.154212
-3.1869683,50,13.154212
4.3385553,50,13.154212
-4.3746758,50,13.154212
-3.5919776,50,13.154212
6.771375,50,13.154212
9.340159,50,13.516723
4.5760226,50,13.516723
3.6163778,50,13.516723
-2.0866838,50,13.516723
-17.398981,50,13.516723
1.4399413,50,13.516723
5.7088118,50,13.516723
-16.625467,50,13.516723
2.3657799,50,13.865879
8.2973,50,13.865879
-5.184325,50,13.865879
2.040463,50,13.865879
2.1697395,50,13.865879
2.96664,50,13.865879
5.1435127,50,13.865879
-12.17441,50,13.865879
-17.86735,50,14.245799
-10.587,50,14.245799
2.1454513,50,14.245799
-33.3667,50,14.245799
-12.906062,50,14.245799
4.2224355,50,14.245799
7.7391334,50,14.245799
-7.1081324,50,14.245799
-11.024347,50,14.59552
8.693489,50,14.59552
3.1238074,50,14.59552
7.8440576,50,14.59552
-9.447856,50,14.59552
-6.1384363,50,14.59552
6.409895,50,14.59552
-4.581441,50,14.59552
4.846588,50,14.918604
2.4480388,50,14.918604
-6.0431614,50,14.918604
12.031876,50,14.918604
4.4776692,50,14.918604
14.331196,50,14.918604
8.758683,50,14.918604
2.4820564,50,14.918604
1.3038131,50,15.270356
3.9589715,50,15.270356
6.52183,50,15.270356
-25.9599,50,15.270356
3.6305766,50,15.270356
-2.6069741,50,15.270356
-4.4117036,50,15.270356
1.5933585,50,15.270356
-6.037857,50,15.629361
-14.09712,50,15.629361
-3.927516,50,15.629361
-10.664147,50,15.629361
6.415534,50,15.629361
17.629732,50,15.629361
0.102533996,50,15.629361
-7.2766886,50,15.629361
5.81012,50,15.963148
4.824171,50,15.963148
-1.3459972,50,15.963148
-11.160686,50,15.963148
-15.169867,50,15.963148
3.1146083,50,15.963148
0.673151,50,15.963148
2.0534534,50,15.963148
5.243553,50,16.492212
4.7083764,50,16.492212
-7.63967,50,16.492212
-0.82857287,50,16.492212
5.467682,50,16.492212
-1.7380179,50,16.492212
4.106624,50,16.492212
2.6223335,50,16.492212
-3.6945124,50,16.847387
6.777567,50,16.847387
-10.071126,50,16.847387
0.9493814,50,16.847387
1.2484974,50,16.847387
-2.857266,50,16.847387
6.4510627,50,16.847387
-4.915874,50,16.847387
-1.4195856,50,17.192119
-2.5332353,50,17.192119
-3.4147007,50,17.192119
8.778625,50,17.192119
1.0605472,50,17.192119
2.8694754,50,17.192119
5.1290956,50,17.192119
-6.0662365,50,17.192119
5.3045735,50,17.559258
2.9722545,50,17.559258
1.9014813,50,17.559258
-18.090302,50,17.559258
0.9707899,50,17.559258
13.231357,50,17.559258
-12.066035,50,17.559258
7.276872,50,17.559258
1.7307159,50,17.95502
10.161899,50,17.95502
-2.9936757,50,17.95502
3.4373364,50,17.95502
-3.015596,50,17.95502
1.2857757,50,17.95502
9.596461,50,17.95502
-4.371332,50,17.95502
-13.168475,50,18.301694
2.508237,50,18.301694
-2.58462,50,18.301694
-1.9628592,50,18.301694
1.7110199,50,18.301694
-7.493689,50,18.301694
-13.24445,50,18.301694
0.8791217,50,18.301694
-2.8051615,50,18.661749
-5.701432,50,18.661749
-1.6513559,50,18.661749
2.075629,50,18.661749
-15.7917,50,18.661749
-0.71532124,50,18.661749
-4.0017138,50,18.661749
4.684272,50,18.661749
