#{"t_start": 1770185813.410864, "env_id": "None"}
r,l,t
-0.08052419,50,3.051364
0.05609663,50,3.052367
0.07194754,50,3.052367
-0.00553674,50,3.052367
0.056928847,50,3.052367
-0.190761,50,3.052367
-0.13271765,50,3.052367
-0.09024049,50,3.052367
0.02615046,50,3.506541
0.0396275,50,3.506541
0.009612244,50,3.506541
0.12817562,50,3.506541
-0.034289513,50,3.506541
0.09492053,50,3.506541
-0.15976514,50,3.506541
0.0947648,50,3.506541
0.03883662,50,4.066374
0.059607197,50,4.066374
0.03273297,50,4.066374
0.0437683,50,4.066374
0.06198742,50,4.066374
0.04783391,50,4.066374
-0.059887726,50,4.066374
-0.055317856,50,4.066374
0.0051226,50,4.514591
0.094244644,50,4.514591
0.092975706,50,4.514591
0.023023834,50,4.514591
0.061290044,50,4.514591
0.054511312,50,4.514591
-0.032176513,50,4.514591
0.012664964,50,4.514591
-0.13259524,50,4.986229
-0.1375792,50,4.986229
-0.020160241,50,4.986768
-0.026479552,50,4.986768
-0.025097499,50,4.986768
0.06734662,50,4.986768
-0.07087267,50,4.986768
-0.022318456,50,4.986768
-0.0018186197,50,5.441553
-0.030594992,50,5.441553
-0.0010612028,50,5.441553
-0.09486765,50,5.441553
0.045705803,50,5.441553
-0.060597938,50,5.441553
-0.023224538,50,5.441553
0.08333673,50,5.441553
-0.15655927,50,5.889418
-0.039644323,50,5.889418
0.05383045,50,5.889418
-0.0071811574,50,5.889418
0.0633907,50,5.889418
-0.0310273,50,5.889418
0.012196425,50,5.889418
-0.01907382,50,5.889418
0.11215323,50,6.347801
-0.057369255,50,6.347801
-0.009840252,50,6.347801
-0.048822254,50,6.347801
0.0042671654,50,6.347801
0.023439255,50,6.347801
-0.21491545,50,6.347801
0.058676574,50,6.347801
0.06675577,50,6.811877
-0.025858328,50,6.811877
-0.056588892,50,6.811877
-0.11224161,50,6.811877
-0.052971486,50,6.811877
0.041766312,50,6.811877
-0.10408113,50,6.811877
0.015659792,50,6.811877
0.05507914,50,7.279791
-0.12473094,50,7.279791
0.020081604,50,7.279791
0.02861091,50,7.279791
-0.05154837,50,7.279791
0.09514171,50,7.279791
0.07386839,50,7.279791
0.018320657,50,7.279791
0.0084834965,50,7.887541
-0.027421992,50,7.887541
0.009230563,50,7.887541
0.036000095,50,7.887541
-0.013798508,50,7.887541
0.051391173,50,7.887541
0.10786054,50,7.887541
-0.054705925,50,7.887541
0.07506304,50,8.330401
-0.24723981,50,8.330401
-0.13850121,50,8.330401
0.13056314,50,8.330401
-0.12912102,50,8.330401
0.012411054,50,8.330401
0.11151359,50,8.330401
-0.0619229,50,8.330401
0.090963766,50,8.798704
-0.16788003,50,8.798704
0.0050454605,50,8.798704
0.03242417,50,8.798704
-0.20418002,50,8.798704
-0.019730853,50,8.799737
0.017772904,50,8.799737
0.04639629,50,8.799737
-0.16324972,50,9.249115
-0.06802974,50,9.249115
0.10392357,50,9.249115
-0.0147940265,50,9.249115
0.020621167,50,9.249115
0.051410716,50,9.249115
-0.07533457,50,9.249115
0.007942785,50,9.249115
-0.05570976,50,9.698644
0.024860356,50,9.698644
-0.009697866,50,9.698644
-0.08013287,50,9.698644
0.014945779,50,9.698644
-0.1690549,50,9.698644
-0.03624941,50,9.698644
-0.1804871,50,9.698644
-0.090035394,50,10.157911
0.079783686,50,10.158913
0.062093977,50,10.158913
-0.081622235,50,10.158913
-0.19366649,50,10.158913
0.034958005,50,10.158913
0.063193016,50,10.158913
-0.24454942,50,10.158913
-0.25280637,50,10.612992
0.113824725,50,10.612992
0.056671064,50,10.612992
-0.04276682,50,10.612992
-0.012033783,50,10.612992
-0.04111554,50,10.612992
-0.0016785191,50,10.612992
0.0613252,50,10.612992
-0.005516703,50,11.068685
-0.06797481,50,11.068685
-0.0889132,50,11.068685
-0.029683448,50,11.068685
-0.038309935,50,11.068685
-0.06607106,50,11.068685
0.06431853,50,11.068685
-0.22467323,50,11.068685
0.045254767,50,11.660539
0.047795016,50,11.660539
0.016639424,50,11.660539
-0.24190861,50,11.660539
-0.12182748,50,11.660539
-0.1405639,50,11.660539
0.027505696,50,11.660539
-0.09900211,50,11.660539
0.023580918,50,12.114234
0.0024584678,50,12.114234
0.043900818,50,12.114234
-0.07548007,50,12.114234
-0.13032486,50,12.114234
-0.01408437,50,12.114234
-0.102961436,50,12.114234
-0.047758378,50,12.114234
0.00030915026,50,12.553806
0.007107518,50,12.554323
0.029309733,50,12.554323
-0.0056484374,50,12.554323
-0.07207468,50,12.554323
0.010328241,50,12.554323
-0.16771798,50,12.554323
-0.083602235,50,12.554323
-0.13022406,50,12.999689
-0.18596324,50,12.999689
0.018291442,50,12.999689
0.09652264,50,12.999689
-0.009287983,50,12.999689
-0.06504233,50,12.999689
-0.021127008,50,12.999689
-0.28151226,50,12.999689
-0.030406393,50,13.451997
-0.13919309,50,13.451997
-0.013058423,50,13.451997
-0.24759173,50,13.451997
-0.058447093,50,13.451997
-0.026244072,50,13.451997
0.10373318,50,13.451997
0.18708372,50,13.451997
0.004687314,50,13.919438
0.028960308,50,13.919438
0.02532941,50,13.919438
0.035768054,50,13.919438
0.049813364,50,13.919438
-0.17242728,50,13.919438
-0.1850099,50,13.919438
0.12508717,50,13.919438
0.13802856,50,14.381129
-0.13016401,50,14.381129
0.049471356,50,14.381129
0.0020068013,50,14.381129
0.068407625,50,14.381129
-0.043838393,50,14.381129
-0.014491385,50,14.381129
-0.061309285,50,14.381129
0.05396179,50,14.823462
0.100625925,50,14.823462
0.07865924,50,14.823462
0.00634003,50,14.823462
0.017513644,50,14.823462
-0.23482709,50,14.823462
0.079726554,50,14.823462
-0.034717303,50,14.823462
0.0004109087,50,15.402736
0.02177013,50,15.402736
0.010353372,50,15.402736
-0.0055341977,50,15.402736
-0.10134679,50,15.402736
0.037406385,50,15.402736
0.0054481304,50,15.402736
-0.10085646,50,15.402736
0.01141478,50,15.862298
-0.013349165,50,15.862298
0.028269053,50,15.862298
-0.0007442866,50,15.862298
-0.4073486,50,15.862298
0.015518306,50,15.862298
-0.09672786,50,15.862298
0.12131128,50,15.862298
0.08811138,50,16.32315
-0.0070225797,50,16.32315
0.04265582,50,16.32315
-0.025178352,50,16.32315
-0.0543378,50,16.32315
0.11079114,50,16.32315
-0.16074881,50,16.32315
-0.065942146,50,16.32315
-0.022451226,50,16.787759
0.015970273,50,16.787759
0.051252026,50,16.787759
0.009043135,50,16.787759
-0.022144776,50,16.787759
-0.51271003,50,16.787759
0.07170442,50,16.787759
-0.009694186,50,16.787759
0.07480884,50,17.255388
-0.21198058,50,17.255388
-0.14566839,50,17.255388
0.1485707,50,17.255388
-0.004459471,50,17.255388
0.040186122,50,17.255388
0.09295941,50,17.255388
-0.02036682,50,17.255388
-0.05977285,50,17.7265
-0.14164741,50,17.7265
0.07975458,50,17.7265
0.13983488,50,17.7265
-0.11205662,50,17.7265
0.04077464,50,17.7265
-0.0793539,50,17.7265
0.10180293,50,17.7265
-0.040402215,50,18.173535
0.047464117,50,18.173535
-0.08171611,50,18.173535
-0.095101036,50,18.173535
-0.1394186,50,18.173535
-0.25640827,50,18.173535
-0.020787742,50,18.173535
-0.051591527,50,18.173535
-0.076093435,50,18.630571
-0.06982799,50,18.630571
-0.032757767,50,18.630571
0.09201466,50,18.630571
-0.0061037657,50,18.630571
-0.047514297,50,18.630571
-0.035927944,50,18.630571
0.017775813,50,18.630571
-0.0061637177,50,19.083005
0.03774814,50,19.083005
0.09580913,50,19.083005
0.03385092,50,19.083005
-0.0044744643,50,19.084004
0.016737057,50,19.084004
0.016874747,50,19.084004
-0.016975228,50,19.084004
-0.06413408,50,19.668938
0.03566869,50,19.668938
0.025315208,50,19.668938
-0.19813465,50,19.668938
0.1868825,50,19.668938
-0.010530325,50,19.668938
0.02375127,50,19.668938
0.014928167,50,19.668938
-0.09470177,50,20.120994
0.06809142,50,20.120994
-0.11804335,50,20.120994
-0.020376565,50,20.120994
0.038952637,50,20.120994
-0.003861751,50,20.120994
0.06384819,50,20.120994
-0.07051599,50,20.120994
0.04845493,50,20.554666
0.04088965,50,20.554666
-0.083429225,50,20.554666
0.005131454,50,20.554666
0.22316895,50,20.554666
0.07720016,50,20.554666
0.024167543,50,20.554666
0.06543838,50,20.554666
-0.16857998,50,20.996208
0.011508874,50,20.996208
0.011288212,50,20.996208
0.02827704,50,20.996208
0.05464165,50,20.996208
0.08504285,50,20.996208
-0.044833254,50,20.996208
0.0910447,50,20.996208
-0.050998326,50,21.454615
-0.22245899,50,21.454615
0.002937431,50,21.454615
0.04080667,50,21.454615
0.036457103,50,21.454615
-0.12508464,50,21.454615
0.12999587,50,21.454615
0.10101564,50,21.454615
0.099696465,50,21.899714
-0.01829504,50,21.899714
0.018215245,50,21.899714
-0.048038203,50,21.899714
-0.08088937,50,21.899714
0.005705648,50,21.899714
-0.001335006,50,21.899714
-0.054724187,50,21.899714
-0.004561537,50,22.370137
-0.01378076,50,22.370137
0.073511675,50,22.370137
0.05274071,50,22.370137
0.0008667689,50,22.370137
0.014439879,50,22.370137
0.048369743,50,22.370137
-0.054149378,50,22.370137
0.045651875,50,22.821779
-0.0018972779,50,22.821779
0.06449736,50,22.821779
-0.057731207,50,22.821779
0.023951504,50,22.821779
0.043237828,50,22.821779
0.01817743,50,22.821779
-0.021963049,50,22.821779
-0.035990965,50,23.297749
-0.18223783,50,23.297749
0.029085673,50,23.297749
0.09831446,50,23.297749
0.03712047,50,23.297749
-0.05563245,50,23.297749
0.014242983,50,23.297749
-0.01305098,50,23.297749
0.042952377,50,23.907907
-0.01563071,50,23.907907
0.08323584,50,23.907907
0.050293293,50,23.907907
-0.09951839,50,23.907907
-0.11843605,50,23.907907
-0.13387369,50,23.907907
0.038630284,50,23.908902
-0.020601634,50,24.38231
0.035973705,50,24.38231
0.0031775767,50,24.38231
-0.03189998,50,24.38231
-0.0025005625,50,24.38231
-0.025748845,50,24.38231
-0.070425004,50,24.38231
-0.052158702,50,24.38231
0.01879289,50,24.842268
-0.2375143,50,24.842268
-0.053406887,50,24.842268
-0.18125287,50,24.842268
0.029923666,50,24.842268
-0.009675153,50,24.842268
0.038115583,50,24.842268
0.06410216,50,24.842268
0.00911055,50,25.307893
0.029245535,50,25.307893
-0.2510122,50,25.307893
-0.025144003,50,25.307893
-0.015169751,50,25.307893
-0.02404001,50,25.307893
-0.044419594,50,25.307893
0.12756982,50,25.307893
0.012798285,50,25.768047
0.049314663,50,25.768047
0.05299881,50,25.768047
-0.042833094,50,25.769049
0.012403746,50,25.769049
-0.05127542,50,25.769049
0.041779216,50,25.769049
0.11448033,50,25.769049
0.044112492,50,26.225638
-0.19359542,50,26.225638
-0.08261887,50,26.225638
0.004594578,50,26.225638
-0.008132251,50,26.225638
-0.030424146,50,26.225638
0.081715055,50,26.225638
