#{"t_start": 1770118716.725013, "env_id": "None"}
r,l,t
2.345075,1970,13.822938
5.359501,1970,25.420839
4.571853,1970,36.991399
4.887229,1970,49.013948
6.610111,1970,60.758182
7.800117,1970,72.598472
8.87492,1970,84.471952
9.374661,1970,96.028323
11.300395,1970,107.392071
12.311807,1970,118.787306
14.01435,1970,130.21689
16.082353,1970,141.587419
20.303796,1970,153.017433
22.064094,1970,164.447897
23.232577,1970,175.837455
25.351759,1970,187.315135
24.259372,1970,198.754658
28.071822,1970,210.172704
26.685825,1970,221.637779
26.355785,1970,233.14955
28.151986,1970,244.762659
29.60081,1970,256.412672
27.67012,1970,268.025373
28.244373,1970,279.483524
28.406128,1970,291.278538
29.834201,1970,302.830912
29.424876,1970,314.57383
30.990051,1970,326.002177
26.946875,1970,337.441771
30.453531,1970,349.204762
32.151839,1970,360.712268
27.495586,1970,372.24417
28.815063,1970,383.843187
30.894321,1970,395.458523
29.547053,1970,406.925787
30.663322,1970,418.692829
29.584317,1970,430.109956
28.610272,1970,441.768638
29.084199,1970,453.451987
27.593245,1970,464.991848
29.023153,1970,476.486907
27.733608,1970,488.028528
29.95879,1970,499.913648
28.757432,1970,511.638354
29.564055,1970,524.390991
27.987563,1970,537.062071
29.359009,1970,548.606952
29.121116,1970,559.963296
27.78728,1970,571.317833
30.755796,1970,582.593966
31.138644,1970,593.903673
28.964619,1970,605.330771
28.144674,1970,616.565753
29.864163,1970,627.784641
29.069059,1970,638.95242
30.13975,1970,650.225541
27.529871,1970,661.562775
31.132272,1970,672.753017
30.409575,1970,684.042705
29.037325,1970,695.281909
29.483689,1970,706.464124
30.810351,1970,717.785638
29.487122,1970,729.130886
29.231938,1970,740.472268
27.899422,1970,751.848788
29.347673,1970,763.196463
31.410801,1970,774.535331
27.588012,1970,785.745011
30.448957,1970,796.976121
28.146196,1970,808.339509
28.938278,1970,819.663095
27.511095,1970,831.081982
28.402287,1970,842.467014
28.840317,1970,853.798095
28.828393,1970,865.16097
30.74686,1970,876.412646
30.34648,1970,887.64671
32.120838,1970,898.967603
30.306055,1970,910.21353
29.990376,1970,921.535732
27.495283,1970,932.751377
29.801083,1970,944.054422
26.518482,1970,955.368104
27.636541,1970,966.572574
27.388593,1970,977.823321
28.743532,1970,989.497808
28.392486,1970,1000.841923
27.665999,1970,1012.286755
28.335761,1970,1023.565704
27.715959,1970,1034.800551
28.943414,1970,1046.122629
27.034707,1970,1057.379395
29.436054,1970,1068.633697
29.533021,1970,1079.963631
29.151186,1970,1091.18095
29.880285,1970,1102.496573
31.226259,1970,1113.763103
28.942808,1970,1125.029634
28.846309,1970,1136.38083
29.803611,1970,1147.682668
29.426353,1970,1159.023772
